tamanho_mapa;densidade_nome;algoritmo;execucoes;sucessos;taxa_sucesso;tempo_medio_segundos;desvio_tempo_segundos;nos_expandidos_medios;custo_medio;passos_medios;portais_medios;jump_points_medios;nos_abstratos_medios
512;alta;A*;1;1;1.0;1.0664483000000473;0.0;92432.0;886.9676041556492;783.0;0.0;0.0;0.0
512;alta;HPA*;1;1;1.0;112.4888269000221;0.0;10348.0;902.6833329081851;807.0;8450.0;0.0;16384.0
512;alta;HPA-JPS;1;1;1.0;112.35698839998804;0.0;9386.0;902.683332908185;807.0;8450.0;3153739.0;16384.0
512;alta;JPS;1;1;1.0;0.9346802000072785;0.0;40946.0;886.9676041556489;783.0;0.0;41526.0;0.0
512;baixa;A*;1;1;1.0;0.4923895000247285;0.0;44674.0;766.0113267570465;585.0;0.0;0.0;0.0
512;baixa;HPA*;1;1;1.0;75.13775039999746;0.0;4429.0;799.4011537017764;642.0;6196.0;0.0;12189.0
512;baixa;HPA-JPS;1;1;1.0;103.32018149999203;0.0;3952.0;799.4011537017764;642.0;6196.0;1216246.0;12189.0
512;baixa;JPS;1;1;1.0;0.7238661000155844;0.0;19929.0;766.0113267570462;585.0;0.0;20881.0;0.0
512;media;A*;1;1;1.0;1.1778837999736425;0.0;74226.0;812.2884553295713;664.0;0.0;0.0;0.0
512;media;HPA*;1;1;1.0;111.83995279998635;0.0;7992.0;836.3056992722712;705.0;8100.0;0.0;15767.0
512;media;HPA-JPS;1;1;1.0;102.9280776999949;0.0;7272.0;836.3056992722712;705.0;8100.0;2730544.0;15767.0
512;media;JPS;1;1;1.0;1.6239173999929335;0.0;35033.0;812.288455329571;664.0;0.0;35854.0;0.0
